REGATTA.
Checkpoints :
X:3600.0,Y:5160.0
X:3300.0,Y:3500.0
X:2400.0,Y:2000.0
X:1800.0,Y:360.0
X:360.0,Y:320.0
Shipcount : 1,
Deck : 3x4

oar, X:1,Y:0

oar, X:2,Y:0

oar, X:1,Y:2

oar, X:2,Y:2

rudder, X:3,Y:1

watch, X:0,Y:1

sail, X:1,Y:1

ROUND 72:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 73:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 74:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 75:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 76:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 77:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 78:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 79:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 80:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:null|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:null|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 81:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:null|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:null|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 82:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:null|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:null|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

