shipPos = [  1517 :  5844 |  3,59 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1368 :  5772 |  3,59 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1220 :  5700 |  3,59 ] | nbOars = 4 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1098 :  5616 |  3,91 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,40 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1005 :  5481 |  4,31 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   940 :  5329 |  4,31 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   876 :  5177 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   813 :  5025 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   749 :  4873 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   685 :  4721 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   621 :  4569 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   557 :  4416 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   494 :  4264 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   430 :  4112 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   366 :  3960 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   302 :  3808 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   238 :  3656 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   174 :  3503 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   111 :  3351 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [    47 :  3199 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -17 :  3047 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -81 :  2895 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -145 :  2743 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -209 :  2591 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -272 :  2438 |  4,32 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -336 :  2286 |  4,32 ] | nbOars = 3 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -318 :  2102 |  4,94 ] | nbOars = 5 : 5 | nbSails = 1 Opened : 0 Closed | R =  0,26 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -214 :  1856 |  5,20 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -84 :  1613 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [    48 :  1370 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   179 :  1127 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   311 :   885 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   443 :   642 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   575 :   399 |  5,21 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   707 :   157 |  5,22 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   839 :   -86 |  5,22 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   972 :  -329 |  5,22 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1105 :  -571 |  5,22 ] | nbOars = 4 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1259 :  -789 |  5,54 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,75 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1470 :  -881 |  6,28 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,28 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1696 :  -912 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  1915 :  -975 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  2134 : -1037 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  2353 : -1099 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  2572 : -1161 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  2791 : -1223 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  3009 : -1285 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  3228 : -1347 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  3447 : -1409 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  3666 : -1472 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  3885 : -1534 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  4104 : -1596 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  4323 : -1658 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  4542 : -1720 |  6,01 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,06 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  4758 : -1788 |  5,95 ] | nbOars = 4 : 5 | nbSails = 0 Opened : 1 Closed | --------- | ----- | W: d= 0,00  #  s=  65 |
=================================== | NEW TARGETED CHECKPOINT : {[3591:-1063|0,00] r100}
