CP (nb=8) {{[300:1800|0,00] r150} {[1900:3800|0,00] r150} {[2000:5240|0,00] r150} {[3600:5160|0,00] r150} {[3300:3500|0,00] r150} {[2400:2000|0,00] r150} {[1800:360|0,00] r150} {[360:320|0,00] r150}}
SAILORS (nb=7)
SHIP {pos=[360:320|1,57] nbO=4 nbR=1 nbS=1 nbW=1}
---------------------------------------------------------------------------------------------
shipPos = [  2626 :  5476 |  0,04 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,10 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2940 :  5472 | -0,06 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,08 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3253 :  5439 | -0,15 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3498 :  5298 | -0,93 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
=================================== | NEW TARGETED CHECKPOINT : {[3300:3500|0,00] r150}
shipPos = [  3649 :  5094 | -0,94 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3704 :  4906 | -1,72 ] | nbOars = 2 : 2 | nbSails = 0 Opened : 1 Closed | R = -0,27 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3658 :  4748 | -1,99 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,02 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3593 :  4596 | -1,97 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3529 :  4444 | -1,97 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3466 :  4292 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3402 :  4139 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3339 :  3987 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3276 :  3835 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3212 :  3682 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,79 | ----- | W: d= 0,00  #  s= 150 |
=================================== | NEW TARGETED CHECKPOINT : {[2400:2000|0,00] r150}
shipPos = [  3211 :  3522 | -1,18 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3212 :  3361 | -1,96 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,05 | ----- | W: d= 0,00  #  s= 150 |
