InitShipPos : (120.0, 1728.0, ori=0.0) | ShipDeck : (5, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(1,2), Oar(2,2), Oar(3,2), Rudder(4,1), Watch(0,1), Sail(2,1)] | [CP{pos=(480.0, 1488.0)}, CP{pos=(800.0, 856.0)}, CP{pos=(120.0, 1488.0)}]
Ship(-56.2, 1881.2, ori=2.88) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5334847129205507},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-110.5, 1881.1, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-163.5, 1866.4, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-216.5, 1851.6, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-269.5, 1836.8, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-322.5, 1822.1, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-375.4, 1807.3, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-384.0, 1743.2, ori=5.77) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5137128382760272},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:
Ship(-203.4, 1695.4, ori=6.28) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-133.3, 1667.2, ori=5.5) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:4,T:OAR},{Si:0,T:USE_WATCH}]
