InitShipPos : (0.0, 0.0, ori=0.0) | ShipDeck : (11, 5) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=0, y=3}, Sl{id=4, x=0, y=4}, Sl{id=5, x=1, y=0}, Sl{id=6, x=1, y=1}, Sl
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(4,0), Oar(5,0), Oar(6,0), Oar(7,0), Oar(8,0), Oar(9,0), Oar(1,4), Oar(2,4), Oar(3,4), Oar(4,4), Oar(5,4), Oar(6,4), Oar(7,4), Oar(8,4), Oar(9,4), Rudder(10,4), Sail(
Ship(1321.6, 569.7, ori=2.39) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(1241.0, 644.6, ori=2.39) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(1222.2, 684.1, ori=2.39) | CP{pos=(300.0, 1500.0)} [{Si:19,T:MOV,xd:4,yd:0},{Si:19,T:TURN,rotation:0.024618950623330083},{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18
Ship(1215.4, 710.7, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(1133.0, 783.6, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(1050.6, 856.5, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(968.3, 929.4, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12
Ship(885.9, 1002.3, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:19,T:MOV,xd:4,yd:0},{Si:19,T:TURN,rotation:0.020063548297805767},{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18
Ship(803.3, 1059.4, ori=2.44) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(719.5, 1130.6, ori=2.44) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(635.7, 1201.8, ori=2.44) | CP{pos=(300.0, 1500.0)} [{Si:19,T:MOV,xd:4,yd:0},{Si:19,T:TURN,rotation:-0.02208027147304037},{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18
Ship(566.5, 1261.9, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
