InitShipPos : (0.0,0.0,ori=0.0) | ShipDeck : (4, 2) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=1, y=0}, Sl{id=3, x=1, y=1}]
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(1979.999999999886,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2034.9999999998815,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2089.9999999998945,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2144.9999999999127,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2199.999999999931,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2254.999999999949,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2309.9999999999673,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2364.9999999999854,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2420.0000000000036,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2475.000000000022,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2530.00000000004,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2585.000000000058,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2640.0000000000764,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2695.0000000000946,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2750.000000000113,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2805.000000000131,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2860.000000000149,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2915.0000000001673,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(2970.0000000001855,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3025.0000000002037,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3080.000000000222,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3135.00000000024,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3190.0000000002583,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3245.0000000002765,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3300.0000000002947,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3355.000000000313,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3410.000000000331,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3465.0000000003492,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3520.0000000003674,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3575.0000000003856,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3630.000000000404,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3685.000000000422,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3740.00000000044,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3795.0000000004584,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
