CP3 {P(50.0|1000.0|0.0),C50.0},d:43,E:[o0.0|o0.2|o1.0|o1.2|o2.0|o2.2|r3.1],S:[0,00|1,01|2,02|3,10]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
