Current Pos:x=0.0,y=0.0,orientation=0.0
Current Pos:x=128.33333333333323,y=1.0579037645896968E-14,orientation=1.665334536937732E-16
Current Pos:x=254.1148966831623,y=21.952397002356747,orientation=0.3490658503988665
Current Pos:x=389.50098841591847,y=34.15438080428969,orientation=-0.17453292519943256
Current Pos:x=508.0544897022946,y=23.678036096390727,orientation=6.34041430469523E-16
Current Pos:x=626.6260950829978,y=13.408622133544881,orientation=-0.17453292519943236
Current Pos:x=726.9405961714699,y=4.544022765322702,orientation=7.853960537484994E-16
Current Pos:x=845.5122015521731,y=14.813436728168737,orientation=0.17453292519943397
Current Pos:x=964.0657028385491,y=25.28978143606787,orientation=9.684093804640526E-16
Current Pos:x=1065.4737642253972,y=61.79893003782789,orientation=0.6981317007977336
Current Pos:x=1163.782801092328,y=144.2900066142679,orientation=0.6981317007977336
Current Pos:x=1276.204537401147,y=223.15485042084262,orientation=0.5235987755983004
Current Pos:x=1387.3444642201569,y=287.3215170875092,orientation=0.5235987755983004
Current Pos:x=1498.4843910391667,y=351.4881837541744,orientation=0.5235987755983004
Current Pos:x=1556.5417068745749,y=378.6224610784695,orientation=0.3490658503988672
Current Pos:x=1600.7821587293136,y=374.94636301121875,orientation=-0.5235987755982984
Current Pos:x=1660.8339873900013,y=379.83076649138803,orientation=0.6981317007977331
Current Pos:x=1679.055523530134,y=429.0899793741372,orientation=1.7453292519943322
Current Pos:x=1637.1632570574188,y=519.5457562585943,orientation=2.268928027592632
Current Pos:x=1568.813725758387,y=616.9779277262371,orientation=2.09439510239321
Current Pos:x=1518.4214964418366,y=724.7986571348517,orientation=1.9198621771937878
Current Pos:x=1475.9412141448493,y=816.1058631295409,orientation=2.09439510239321
Current Pos:x=1394.0390989919315,y=914.0596938170358,orientation=2.443460952792054
Current Pos:x=1281.6859140011566,y=1008.3352099043975,orientation=2.443460952792054
Current Pos:x=1183.3768771342257,y=1090.8262864808319,orientation=2.443460952792054
Current Pos:x=1060.3288900247055,y=1148.5971711171976,orientation=2.967059728390365
Current Pos:x=957.4214628492529,y=1185.8491397099829,orientation=2.6179938779915206
Current Pos:x=846.281536030243,y=1250.015806376648,orientation=2.6179938779915206
Current Pos:x=735.1416092112332,y=1314.1824730433132,orientation=2.6179938779915206
Current Pos:x=624.0016823922234,y=1378.3491397099783,orientation=2.6179938779915206
Current Pos:x=512.8617555732136,y=1442.5158063766435,orientation=2.6179938779915206
Current Pos:x=401.72182875420947,y=1506.6824730433086,orientation=2.6179938779915206
Current Pos:x=322.3361667406367,y=1552.5158063766344,orientation=2.6179938779915206
Current Pos:x=262.284338079949,y=1547.6314028964628,orientation=3.839724354387564
Current Pos:x=192.06359746071183,y=1488.7092053418603,orientation=3.839724354387564
Current Pos:x=146.8840528345073,y=1411.0829755158743,orientation=4.537856055185262
Current Pos:x=134.79596278693157,y=1274.2904740315937,orientation=4.712388980384684
Current Pos:x=146.6452865902138,y=1137.477083207705,orientation=4.886921905584106
Current Pos:x=146.83629958564703,y=1028.0348096296009,orientation=4.537856055185262
Current Pos:x=146.64528659021303,y=918.5925360514973,orientation=4.886921905584106
Current Pos:x=138.21713069246297,y=819.2639110224808,orientation=4.36332312998584
Current Pos:x=112.06777419971114,y=722.0127341370405,orientation=4.537856055185262
Current Pos:x=101.59142949181204,y=603.4592328506645,orientation=4.712388980384684
Current Pos:x=101.59142949181204,y=493.45923285066226,orientation=4.712388980384684
Current Pos:x=101.59142949181204,y=383.45923285066,orientation=4.712388980384684
Current Pos:x=91.32201552896602,y=264.8876274699568,orientation=4.537856055185262
Current Pos:x=60.6188738420633,y=149.90065622429123,orientation=4.36332312998584
