REGATTA.
Checkpoints :
ROUND 15:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 16:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 17:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 18:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 19:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 20:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 21:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 22:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,

ROUND 23:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:null|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:null|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:null|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:null|id:9,

ROUND 24:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:null|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:null|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:null|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:null|id:9,

ROUND 25:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:null|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:null|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:null|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:null|id:9,

