InitShipPos : (0.0, 0.0, ori=0.0) | ShipDeck : (11, 5) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=0, y=3}, Sl{id=4, x=0, y=4}, Sl{id=5, x=1, y=0}, Sl{id=6, x=1, y=1}, Sl
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(4,0), Oar(5,0), Oar(6,0), Oar(7,0), Oar(8,0), Oar(9,0), Oar(1,4), Oar(2,4), Oar(3,4), Oar(4,4), Oar(5,4), Oar(6,4), Oar(7,4), Oar(8,4), Oar(9,4), Rudder(10,4), Sail(
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
Ship(1314.5, 1208.3, ori=-1.22) | CP{pos=(1000.0, 1000.0)} [{Si:19,T:TURN,rotation:-0.7853981633974483},{Si:5,T:OAR},{Si:10,T:OAR},{Si:15,T:OAR},{Si:16,T:OAR},{Si:9,T:OAR},{Si:11,T:OAR},{Si:14,T:OAR},
