Current Pos:x=0.0,y=0.0,orientation=0.0
Current Pos:x=136.81339082388834,y=11.849323803283777,orientation=0.17453292519943317
Current Pos:x=324.39717050935303,y=43.212781942481364,orientation=0.2083137433422144
Current Pos:x=507.8930565161203,y=73.54497293230344,orientation=0.2083137433422144
Current Pos:x=691.1411360149629,y=105.0193168201334,orientation=0.2244120173121533
Current Pos:x=859.1307028831018,y=138.5153897666967,orientation=0.23654369668745787
Current Pos:x=1001.5356158836368,y=173.61185517521787,orientation=0.24683892332257037
Current Pos:x=1161.534406882066,y=213.9279422750627,orientation=0.24683892332257037
Current Pos:x=1303.7555544362303,y=249.7644641415911,orientation=0.24683892332257037
Current Pos:x=1445.9767019903948,y=285.60098600811716,orientation=0.24683892332257037
Current Pos:x=1552.4578496171785,y=313.1976822944982,orientation=0.26047798052984683
Current Pos:x=1561.7424869038714,y=377.2271153222758,orientation=2.6166724707221913
Current Pos:x=1481.7118731378591,y=362.68610709887287,orientation=4.037957665475988
Current Pos:x=1469.8003886732954,y=302.7368346271138,orientation=4.996251877425783
Current Pos:x=1435.693537084038,y=238.2216830838372,orientation=3.425455550630895
Current Pos:x=1336.4450952436996,y=262.0010676160692,orientation=2.378257999434318
Current Pos:x=1231.5303104318132,y=373.9950486943445,orientation=2.26780862059217
Current Pos:x=1133.9390324807168,y=494.88216599330315,orientation=2.26780862059217
Current Pos:x=1098.8307354664043,y=579.993913367511,orientation=2.26780862059217
Current Pos:x=1074.5235023997507,y=650.1984013171533,orientation=2.285812475081949
Current Pos:x=1035.780042891901,y=732.0675095962522,orientation=2.3098833965639045
Current Pos:x=994.1317072814946,y=811.2058947598572,orientation=2.3348157038894026
Current Pos:x=929.796738776027,y=893.0822666802744,orientation=2.3600541155524226
Current Pos:x=826.660670875737,y=993.9527102480896,orientation=2.3746922084963753
Current Pos:x=709.5920960804112,y=1106.7684644163794,orientation=2.3746922084963753
Current Pos:x=605.7247116131127,y=1206.8625958487676,orientation=2.3746922084963753
Current Pos:x=488.65613681778814,y=1319.6783500170543,orientation=2.3746922084963753
Current Pos:x=371.5875620224681,y=1432.494104185341,orientation=2.3746922084963753
Current Pos:x=293.73258017296075,y=1506.7193621004806,orientation=2.3855308463405436
Current Pos:x=231.28410633215088,y=1487.0581325144335,orientation=4.519855380402337
Current Pos:x=202.8852366631924,y=1325.1197776483116,orientation=4.558093872725454
Current Pos:x=177.60679816969403,y=1162.5902025074004,orientation=4.558093872725454
Current Pos:x=152.32835967619567,y=1000.0606273664874,orientation=4.558093872725454
Current Pos:x=129.8674542019967,y=855.6465875142652,orientation=4.558093872725454
Current Pos:x=104.58901570849967,y=693.1170123733426,orientation=4.558093872725454
Current Pos:x=79.31057721500274,y=530.58743723242,orientation=4.558093872725454
Current Pos:x=54.03213872150552,y=368.05786209149744,orientation=4.558093872725454
Current Pos:x=28.75370022800792,y=205.52828695057485,orientation=4.558093872725454
Current Pos:x=10.063712161256245,y=79.06101162789,orientation=4.573389720253761
