Current Pos:x=1008.4033613445396,y=1818.7274909963983,orientation=0.0
Current Pos:x=1108.9373156496247,y=1838.5198094704006,orientation=0.3926990816987236
Current Pos:x=1261.377438513993,y=1901.6625758106297,orientation=0.3926990816987236
Current Pos:x=1413.8175613783612,y=1964.805342150859,orientation=0.3926990816987236
Current Pos:x=1559.5743450339878,y=2016.3874141437973,orientation=0.2865137225276887
Current Pos:x=1717.848113267186,y=2063.01802950819,orientation=0.2865137225276887
Current Pos:x=1876.121881500384,y=2109.6486448725827,orientation=0.2865137225276887
Current Pos:x=2034.395649733582,y=2156.2792602369755,orientation=0.2865137225276887
Current Pos:x=2192.669417966801,y=2202.909875601368,orientation=0.2865137225276887
Current Pos:x=2271.806302083389,y=2226.2251832835645,orientation=0.2865137225276887
Current Pos:x=2404.3647457035013,y=2231.161062619876,orientation=-0.21711339154968565
Current Pos:x=2565.4910945093297,y=2195.618134764854,orientation=-0.21711339154968565
Current Pos:x=2726.617443315158,y=2160.075206909832,orientation=-0.21711339154968565
Current Pos:x=2887.7437921209867,y=2124.5322790548103,orientation=-0.21711339154968565
Current Pos:x=3048.870140926815,y=2088.9893511997884,orientation=-0.21711339154968565
Current Pos:x=3209.9964897326436,y=2053.4464233447666,orientation=-0.21711339154968565
Current Pos:x=3363.326490749327,y=2034.9703806997134,orientation=-0.02076385070032396
Current Pos:x=3528.316981078453,y=2033.7559108257647,orientation=0.006313191565790512
Current Pos:x=3693.313692937383,y=2034.7975805145534,orientation=0.006313191565790512
Current Pos:x=3858.3104047963134,y=2035.839250203342,orientation=0.006313191565790512
Current Pos:x=4023.3071166552436,y=2036.8809198921308,orientation=0.006313191565790512
Current Pos:x=4147.042737722668,y=2038.6728843579033,orientation=0.02281420118658461
Current Pos:x=4288.385756124828,y=2014.181613402686,orientation=-0.3698848805121391
Current Pos:x=4428.8094813327,y=1949.5394640574787,orientation=-0.49419085572159904
Current Pos:x=4574.067691826712,y=1871.2767508150037,orientation=-0.49419085572159904
Current Pos:x=4719.325902320724,y=1793.0140375725287,orientation=-0.49419085572159904
Current Pos:x=4864.584112814736,y=1714.7513243300536,orientation=-0.49419085572159904
Current Pos:x=5009.842323308748,y=1636.4886110875786,orientation=-0.49419085572159904
Current Pos:x=5060.4693672174,y=1676.7735364130108,orientation=1.8620036344707482
Current Pos:x=4990.177759642159,y=1801.4981322127032,orientation=2.3104845453978777
Current Pos:x=4877.862541146184,y=1922.3680419328123,orientation=2.328747425730831
Current Pos:x=4764.435785478888,y=2042.1986352668985,orientation=2.328747425730831
Current Pos:x=4651.009029811591,y=2162.0292286010063,orientation=2.328747425730831
Current Pos:x=4545.982274144325,y=2281.859821935115,orientation=2.328747425730831
Current Pos:x=4441.9555184770625,y=2401.690415269224,orientation=2.328747425730831
Current Pos:x=4341.91964039478,y=2505.789214668497,orientation=2.3439929827247346
Current Pos:x=4226.679252821349,y=2623.87669525779,orientation=2.3439929827247346
Current Pos:x=4111.438865247918,y=2741.9641758470825,orientation=2.3439929827247346
Current Pos:x=3996.1984776744875,y=2860.051656436375,orientation=2.3439929827247346
Current Pos:x=3895.3631385477356,y=2963.378201951995,orientation=2.3439929827247346
Current Pos:x=3778.5772821930846,y=3072.700893539486,orientation=2.3439929827247346
Current Pos:x=3715.6350842035276,y=3179.9551583213706,orientation=1.7549443601766535
Current Pos:x=3697.1980917951355,y=3310.1888130823963,orientation=1.654887408480994
Current Pos:x=3683.339409974215,y=3474.6057736983685,orientation=1.654887408480994
Current Pos:x=3669.4807281532944,y=3639.0227343143406,orientation=1.654887408480994
